nohup: ignoring input
设备: cuda:0
可用显存: 31.4GB
加载 tokenizer...
加载模型（先 CPU 后 GPU）...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 5959.13it/s]
  模型加载后显存: 0.0GB（应为 0，模型在 CPU）
trainable params: 7,667,712 || all params: 8,198,403,072 || trainable%: 0.0935
  移到 GPU 后显存: 15.3GB / 31.4GB
加载数据...
  数据加载完成: 25704 条

训练配置:
  模型: /root/autodl-tmp/model_cache/Qwen/Qwen3-8B
  总数据: 25704 条
  batch: 1, grad_accum: 8, 等效 batch: 8
  max_length: 2048
  seed: 42
  max_updates: 未设置
  max_samples: 未设置
  总更新步数: 9639

Epoch 1/3
  update 1400 | loss 0.7205 | lr 1.76e-04
  update 1410 | loss 0.6836 | lr 1.76e-04
  update 1420 | loss 0.7210 | lr 1.76e-04
  update 1430 | loss 0.7226 | lr 1.76e-04
  update 1440 | loss 0.7040 | lr 1.75e-04
  update 1450 | loss 0.7290 | lr 1.75e-04
  update 1460 | loss 0.7141 | lr 1.75e-04
  update 1470 | loss 0.7218 | lr 1.75e-04
  update 1480 | loss 0.7187 | lr 1.75e-04
  update 1490 | loss 0.7126 | lr 1.74e-04
  update 1500 | loss 0.7214 | lr 1.74e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_1500
  update 1510 | loss 0.6835 | lr 1.74e-04
  update 1520 | loss 0.7155 | lr 1.74e-04
  update 1530 | loss 0.7338 | lr 1.73e-04
  update 1540 | loss 0.7035 | lr 1.73e-04
  update 1550 | loss 0.7364 | lr 1.73e-04
  update 1560 | loss 0.7020 | lr 1.73e-04
  update 1570 | loss 0.7316 | lr 1.73e-04
  update 1580 | loss 0.6959 | lr 1.72e-04
  update 1590 | loss 0.7339 | lr 1.72e-04
  update 1600 | loss 0.7625 | lr 1.72e-04
  update 1610 | loss 0.7465 | lr 1.72e-04
  update 1620 | loss 0.7112 | lr 1.72e-04
  update 1630 | loss 0.7085 | lr 1.71e-04
  update 1640 | loss 0.6984 | lr 1.71e-04
  update 1650 | loss 0.7004 | lr 1.71e-04
  update 1660 | loss 0.7334 | lr 1.71e-04
  update 1670 | loss 0.7063 | lr 1.70e-04
  update 1680 | loss 0.7358 | lr 1.70e-04
  update 1690 | loss 0.6793 | lr 1.70e-04
  update 1700 | loss 0.7452 | lr 1.70e-04
  update 1710 | loss 0.7002 | lr 1.70e-04
  update 1720 | loss 0.7181 | lr 1.69e-04
  update 1730 | loss 0.7138 | lr 1.69e-04
  update 1740 | loss 0.7224 | lr 1.69e-04
  update 1750 | loss 0.7170 | lr 1.69e-04
  update 1760 | loss 0.7283 | lr 1.69e-04
  update 1770 | loss 0.7292 | lr 1.68e-04
  update 1780 | loss 0.7056 | lr 1.68e-04
  update 1790 | loss 0.7380 | lr 1.68e-04
  update 1800 | loss 0.7183 | lr 1.68e-04
  update 1810 | loss 0.7094 | lr 1.67e-04
  update 1820 | loss 0.7074 | lr 1.67e-04
  update 1830 | loss 0.6844 | lr 1.67e-04
  update 1840 | loss 0.7032 | lr 1.67e-04
  update 1850 | loss 0.7289 | lr 1.67e-04
  update 1860 | loss 0.6986 | lr 1.66e-04
  update 1870 | loss 0.7380 | lr 1.66e-04
  update 1880 | loss 0.7296 | lr 1.66e-04
  update 1890 | loss 0.7291 | lr 1.66e-04
  update 1900 | loss 0.6995 | lr 1.66e-04
  update 1910 | loss 0.7163 | lr 1.65e-04
  update 1920 | loss 0.7022 | lr 1.65e-04
  update 1930 | loss 0.7612 | lr 1.65e-04
  update 1940 | loss 0.7206 | lr 1.65e-04
  update 1950 | loss 0.6768 | lr 1.64e-04
  update 1960 | loss 0.7097 | lr 1.64e-04
  update 1970 | loss 0.7095 | lr 1.64e-04
  update 1980 | loss 0.7392 | lr 1.64e-04
  update 1990 | loss 0.7329 | lr 1.64e-04
  update 2000 | loss 0.7139 | lr 1.63e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_2000
  update 2010 | loss 0.7291 | lr 1.63e-04
  update 2020 | loss 0.7273 | lr 1.63e-04
  update 2030 | loss 0.7199 | lr 1.63e-04
  update 2040 | loss 0.7045 | lr 1.63e-04
  update 2050 | loss 0.7220 | lr 1.62e-04
  update 2060 | loss 0.7266 | lr 1.62e-04
